9950 9949
113304 -0.625094 SAD
146857 -0.625027 SAD
207483 -0.624913 SAD
222031 -0.624892 SAD
127544 -0.624827 SAD
228336 -0.624424 SAD
251522 -0.624368 SAD
220191 -0.624193 SAD
106705 -0.62391 SAD
257632 -0.623876 SAD
170143 -0.623644 SAD
134375 -0.623524 SAD
213788 -0.62333 SAD
259774 -0.623192 SAD
144044 -0.622989 SAD
106803 -0.622963 SAD
153065 -0.622939 SAD
266175 -0.622799 MAX
253910 -0.622322 SAD
184218 -0.622243 SAD
159310 -0.622 SAD
221858 -0.621966 SAD
150446 -0.621805 SAD
241008 -0.621755 SAD
245412 -0.621752 SAD
133861 -0.621676 SAD
169555 -0.621455 SAD
226496 -0.621447 SAD
304210 -0.621328 SAD
266682 -0.621252 SAD
257925 -0.621055 SAD
106901 -0.620964 SAD
121378 -0.620932 SAD
171786 -0.620893 SAD
113402 -0.620867 SAD
182262 -0.620622 SAD
127974 -0.620542 SAD
234606 -0.620456 SAD
115030 -0.620403 SAD
247799 -0.620351 SAD
156848 -0.619646 SAD
232899 -0.619603 SAD
279231 -0.618931 SAD
100695 -0.618836 SAD
152697 -0.618832 SAD
178108 -0.618799 SAD
257827 -0.618793 SAD
140059 -0.618789 SAD
157533 -0.618723 SAD
121238 -0.618538 SAD
182458 -0.618469 SAD
247232 -0.618282 SAD
106999 -0.617962 SAD
234642 -0.617928 SAD
209422 -0.617862 SAD
297810 -0.617843 SAD
251815 -0.617481 SAD
176153 -0.617358 SAD
251913 -0.617159 SAD
153198 -0.616986 SAD
304186 -0.616906 SAD
259590 -0.616835 SAD
251717 -0.616771 SAD
194970 -0.616688 SAD
260280 -0.616608 SAD
169946 -0.616561 SAD
163250 -0.616555 SAD
201275 -0.61622 SAD
239302 -0.615978 SAD
108823 -0.61593 SAD
252011 -0.615868 SAD
239204 -0.61581 SAD
169848 -0.615722 SAD
253372 -0.615636 SAD
278971 -0.615578 SAD
158902 -0.615531 SAD
257729 -0.615433 SAD
241123 -0.615364 SAD
133753 -0.615339 SAD
295857 -0.615263 SAD
222033 -0.615249 SAD
207580 -0.615232 SAD
144141 -0.615223 SAD
266585 -0.615084 SAD
239400 -0.615024 SAD
266079 -0.614965 SAD
253486 -0.614881 SAD
184819 -0.614726 SAD
233184 -0.614666 SAD
100793 -0.614603 SAD
188664 -0.614552 SAD
171474 -0.614393 SAD
291480 -0.614387 SAD
247507 -0.614362 SAD
127490 -0.614121 SAD
107097 -0.614015 SAD
220288 -0.613907 SAD
152500 -0.613882 SAD
213885 -0.613729 SAD
150543 -0.613695 SAD
239489 -0.613654 SAD
163543 -0.613576 SAD
287375 -0.613333 MAX
283049 -0.613204 SAD
121669 -0.61319 SAD
152600 -0.613069 SAD
153313 -0.612991 SAD
264132 -0.612839 SAD
165304 -0.612748 SAD
228148 -0.61257 SAD
146267 -0.612507 SAD
266390 -0.612478 SAD
247410 -0.612355 SAD
146278 -0.612321 SAD
165550 -0.612317 SAD
245794 -0.612129 SAD
226691 -0.612116 SAD
258120 -0.612078 SAD
202994 -0.612059 SAD
245607 -0.611749 SAD
163837 -0.611739 SAD
226789 -0.611646 SAD
272385 -0.611639 SAD
270242 -0.611577 SAD
247604 -0.611575 SAD
245509 -0.611561 SAD
128166 -0.611551 SAD
182359 -0.611405 SAD
258022 -0.611387 SAD
282951 -0.611379 SAD
226593 -0.611327 SAD
131726 -0.61131 SAD
163445 -0.611247 SAD
156945 -0.611242 SAD
114932 -0.611053 SAD
259791 -0.611049 SAD
245705 -0.610888 SAD
260483 -0.610833 SAD
127447 -0.61064 SAD
291744 -0.610415 SAD
152401 -0.610333 SAD
128095 -0.610243 SAD
226887 -0.609969 SAD
264034 -0.609725 SAD
270633 -0.60961 SAD
171706 -0.609378 SAD
240911 -0.60905 SAD
245803 -0.609039 SAD
232996 -0.609035 SAD
259677 -0.608668 SAD
233094 -0.608614 SAD
151031 -0.60861 SAD
240876 -0.608346 SAD
139973 -0.608259 SAD
276645 -0.608117 SAD
163347 -0.607909 SAD
245313 -0.607843 SAD
152503 -0.607609 SAD
258404 -0.607594 SAD
254007 -0.607509 SAD
144238 -0.607393 SAD
285795 -0.60727 SAD
278691 -0.607111 SAD
233192 -0.607052 SAD
195067 -0.607025 SAD
176250 -0.60695 SAD
246970 -0.606941 SAD
253878 -0.606837 SAD
108962 -0.606619 SAD
270437 -0.606547 SAD
317091 -0.606451 SAD
161831 -0.60636 MAX
247350 -0.606261 SAD
207677 -0.605647 SAD
264327 -0.605638 SAD
202925 -0.605632 SAD
190329 -0.60558 SAD
150640 -0.605552 SAD
121250 -0.605324 SAD
188761 -0.60525 SAD
278874 -0.60522 SAD
284998 -0.605086 SAD
260183 -0.604949 SAD
276547 -0.604927 SAD
139962 -0.604803 SAD
121141 -0.604742 SAD
214276 -0.604677 SAD
165207 -0.604486 SAD
213982 -0.604222 SAD
266488 -0.604059 SAD
264229 -0.604052 SAD
305605 -0.603917 SAD
221936 -0.603839 SAD
298242 -0.603763 SAD
239497 -0.603688 SAD
270339 -0.603668 SAD
291581 -0.603485 SAD
251618 -0.603385 SAD
297713 -0.60333 SAD
207869 -0.603209 SAD
165072 -0.602964 SAD
157042 -0.602836 SAD
220581 -0.602804 SAD
307490 -0.602778 SAD
110641 -0.602666 MAX
131823 -0.602594 SAD
182456 -0.602257 SAD
241313 -0.602223 SAD
260388 -0.601998 SAD
196891 -0.60197 SAD
270918 -0.601821 SAD
276840 -0.6018 SAD
201564 -0.601696 SAD
240736 -0.601566 SAD
133656 -0.601479 SAD
240948 -0.601363 SAD
153005 -0.601256 SAD
247874 -0.60112 SAD
298373 -0.601095 SAD
96352 -0.600814 SAD
137933 -0.600779 SAD
279425 -0.600376 SAD
285244 -0.600341 SAD
291937 -0.600058 SAD
276742 -0.599958 SAD
228241 -0.599936 SAD
253655 -0.599933 SAD
121790 -0.5999 SAD
228688 -0.599846 SAD
195259 -0.599706 SAD
144335 -0.599522 SAD
157237 -0.599366 SAD
133667 -0.59935 SAD
304288 -0.599019 SAD
245410 -0.598997 SAD
222286 -0.598672 SAD
171609 -0.598589 SAD
165110 -0.598542 SAD
104531 -0.59853 MAX
222383 -0.598526 SAD
138225 -0.598217 SAD
270534 -0.598076 SAD
313698 -0.598075 SAD
295953 -0.597962 SAD
277223 -0.597951 SAD
304613 -0.597826 SAD
153229 -0.597816 SAD
316994 -0.597781 SAD
260215 -0.597754 SAD
128262 -0.597707 SAD
302259 -0.597571 SAD
195164 -0.597477 SAD
141970 -0.597419 SAD
150737 -0.5974 SAD
178011 -0.597363 SAD
188954 -0.597253 SAD
201469 -0.597062 SAD
317156 -0.597036 SAD
127350 -0.597028 SAD
291312 -0.597017 SAD
292007 -0.596971 SAD
285698 -0.596886 SAD
149163 -0.596867 SAD
196635 -0.596793 SAD
150932 -0.596459 SAD
247216 -0.596388 SAD
228494 -0.596339 SAD
207774 -0.596176 SAD
188858 -0.59604 SAD
215651 -0.595989 SAD
265981 -0.595969 SAD
158809 -0.595946 SAD
230806 -0.595914 MAX
247253 -0.595743 SAD
152366 -0.595641 SAD
234546 -0.59551 SAD
115494 -0.595373 SAD
292005 -0.594964 MAX
253715 -0.594923 SAD
222189 -0.594878 SAD
264614 -0.594788 MAX
251715 -0.594749 SAD
279327 -0.59473 SAD
240733 -0.594719 SAD
329700 -0.594555 SAD
253812 -0.594479 SAD
157139 -0.59445 SAD
183927 -0.594348 SAD
240814 -0.594243 SAD
127296 -0.594182 SAD
285700 -0.593776 MAX
158906 -0.593773 SAD
291905 -0.593726 SAD
283528 -0.593684 SAD
298312 -0.593586 SAD
304017 -0.593584 SAD
190312 -0.593459 SAD
177425 -0.593434 SAD
324132 -0.593413 SAD
298311 -0.593392 MAX
298210 -0.593311 SAD
171512 -0.5933 SAD
272287 -0.593241 SAD
234528 -0.593238 SAD
259960 -0.593213 SAD
182553 -0.593194 SAD
138030 -0.593188 SAD
144627 -0.59313 SAD
310658 -0.592914 SAD
193077 -0.592725 MAX
221839 -0.592501 SAD
171377 -0.592395 SAD
104922 -0.592182 MAX
234799 -0.591826 SAD
285600 -0.591814 SAD
144432 -0.591635 SAD
241023 -0.591632 SAD
304200 -0.591559 MAX
270919 -0.591538 MAX
247182 -0.591538 SAD
234349 -0.591531 SAD
139865 -0.591465 SAD
227955 -0.591326 SAD
234431 -0.591139 SAD
323526 -0.591123 SAD
253618 -0.591099 SAD
234915 -0.591087 SAD
304515 -0.591034 SAD
240661 -0.591012 SAD
115485 -0.590972 SAD
152295 -0.59097 SAD
266586 -0.590811 SAD
310919 -0.59076 SAD
273185 -0.590502 SAD
245507 -0.590216 SAD
171415 -0.590152 SAD
258020 -0.590126 SAD
109188 -0.590075 SAD
326017 -0.589763 SAD
266326 -0.589683 SAD
310754 -0.589625 SAD
190282 -0.58958 SAD
278593 -0.589495 SAD
297616 -0.589373 SAD
272989 -0.589371 SAD
115559 -0.589369 SAD
228397 -0.589319 SAD
115429 -0.589282 MAX
296050 -0.589266 SAD
150834 -0.58926 SAD
285502 -0.589214 SAD
302356 -0.589075 SAD
289833 -0.589049 SAD
316897 -0.589018 SAD
279394 -0.588883 MAX
278679 -0.588814 SAD
158670 -0.588813 SAD
279229 -0.58879 SAD
228144 -0.588783 SAD
140522 -0.588739 SAD
147082 -0.588622 SAD
142165 -0.588606 SAD
158614 -0.588567 SAD
266618 -0.588436 SAD
272826 -0.588384 SAD
260086 -0.588318 SAD
177914 -0.588274 SAD
133559 -0.588261 SAD
123737 -0.588241 MAX
145990 -0.588063 SAD
195261 -0.588059 SAD
215358 -0.587981 SAD
277224 -0.587887 MAX
266423 -0.58786 SAD
289842 -0.587817 SAD
234260 -0.587816 SAD
201566 -0.587669 SAD
127252 -0.587454 SAD
297789 -0.58739 SAD
134472 -0.586985 SAD
273087 -0.586949 SAD
188955 -0.586937 SAD
207871 -0.586832 SAD
146827 -0.586689 SAD
107173 -0.586687 SAD
317124 -0.586645 SAD
131725 -0.586588 SAD
77503 -0.586536 SAD
140329 -0.586469 SAD
279197 -0.586427 SAD
304516 -0.586358 SAD
329765 -0.586349 SAD
291742 -0.586338 SAD
329603 -0.586226 SAD
